RIDM ID,856$z,856$x
400011803,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400012037,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400012040,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400012678,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400013367,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400013807,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
403006723,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
403006734,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
403011735,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
403011897,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
403012008,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
1001105757,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
1001105779,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
1001122260,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410003545,Digitale Kopie,IIIF manifest (digitized source)
410003546,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
992002627,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
1001135062,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027051,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990043763,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990043021,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990067290,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027370,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027366,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027048,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027052,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027061,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027043,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990041208,Digitalisat ist Teil des Projekts Musik in Schweizer Klöstern,IIIF manifest (digitized source)
1001224751,Digitalisat,IIIF manifest (digitized source)
400167217,Digitalisat,IIIF manifest (digitized source)
400167176,Digitalisat,IIIF manifest (digitized source)
400167221,Digitalisat,IIIF manifest (digitized source)
992005588,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990063458,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
990034066,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
990033863,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990033864,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990033865,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
405000500,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
405000525,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
405000704,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
405000908,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
405000924,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400109032,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400109036,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
400109041,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
402007101,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410007493,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006972,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410007173,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410007201,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410007204,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006407,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006441,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006529,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006558,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006566,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410006636,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001793,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001976,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410003508,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410004478,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990033843,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
410001101,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001106,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001284,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
410001560,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990022492,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
990027337,Digitalisat ist Teil des Projekts Disjecta membra,IIIF manifest (digitized source)
992004615,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)
990027232,Digitalisat ist Teil des Projekts Digital Music Unica in Switzerland (D-MUS),IIIF manifest (digitized source)